7415 NCE LYS 17:20 18:15 0.0
7226 CDG LYS 23:55 01:05+1 0.0
7855 AMS NCE 18:30 20:35 0.0
1851 LHR CDG 06:43+1 07:53+1 0.0
5000 LYS PUF 10:04+1 11:14+1 0.0
5630 ORY MRS 00:58+1 02:13+1 0.0
1228 CDG BCN 11:55 13:40 0.0
9471 MXP MRS 08:50 10:20 0.0
6984 ORY LYS 21:56 23:01 0.0
1551 LHR CDG 17:00 18:10 0.0
5367 LYS SXB 12:06 13:01 0.0
1787 DUS CDG 04:21+1 05:36+1 0.0
5035 MRS BOD 20:37 21:47 0.0
1476 CDG CMN 22:13 01:18+1 0.0
1223 GVA CDG 23:47 00:57+1 0.0
6899 SXB ORY 18:20 19:20 0.0
2744 NTE CFE 07:35 08:35 0.0
5589 MRS ORY 08:30 09:50 0.0
928 CDG BCN 09:00 10:45 0.0
2062 CDG PRG 22:11 23:56 0.0
5291 ORY LIG 14:53 15:53 0.0
7163 BIA ORY 11:00 12:35 0.0
2949 LIS TLS 14:00 16:10 0.0
2124 CDG SVO 15:05 18:45 0.0
9413 FCO CDG 09:05 11:15 0.0
7138 ORY MPL 03:08+1 04:28+1 0.0
5005 PUF LYS 05:25 06:35 0.0
1728 CDG BCN 17:45 19:30 0.0
7431 TLS LYS 15:30 16:40 0.0
1006 CDG VCE 08:55 10:40 0.0
5236 TLS NTE 12:33 13:33 0.0
9345 MXP LYS 19:25 20:40 0.0
35 CDG ORY 23:49 00:19+1 0.0
2737 CFE NCE 18:34 19:44 0.0
2702 BOD NTE 22:38 23:23 0.0
4588 CDG DUB 19:40 21:35 0.0
7809 AMS CDG 17:14 18:39 0.0
5323 TLS RNS 20:00 21:10 0.0
1884 CDG FCO 07:59+1 10:04+1 0.0
4528 MRS BCN 20:50 21:55 4525.0
9384 CDG MXP 21:37 23:22 0.0
929 BCN CDG 01:15+1 03:10+1 0.0
850 CDG LHR 08:00 09:25 0.0
5718 ORY TLS 17:20 18:30 0.0
5487 BCN LYS 06:24+1 07:44+1 0.0
5462 LYS FRA 19:15 20:45 0.0
2852 CFE MPL 17:45 18:35 0.0
2701 NTE BOD 18:04 18:49 0.0
2948 TLS LIS 16:53 19:03 0.0
1850 CDG LHR 18:00 19:20 0.0
6949 BES ORY 13:05 14:20 0.0
1329 BCN CDG 05:18+1 07:13+1 0.0
96 ORY CDG 07:40 08:10 0.0
9498 FCO CTA 04:59+1 06:14+1 0.0
5697 TLS ORY 09:40 11:00 0.0
7280 CDG NCE 06:15 07:50 0.0
3014 LYS VIE 17:02 18:42 0.0
92 ORY CDG 06:20 06:50 0.0
2721 LIL NTE 06:20 07:30 0.0
5011 BIQ LYS 14:02 15:22 0.0
5842 ORY BOD 14:10 15:15 0.0
10 CDG ORY 03:00 03:30 0.0
4097 BIA ORY 07:56+1 09:31+1 0.0
9507 CTA MXP 19:37 21:37 0.0
1565 TUN CDG 11:00 13:35 0.0
15 CDG ORY 08:27 08:57 0.0
102 ORY CDG 21:22 21:52 0.0
4895 MRS RNS 15:45 17:15 0.0
7441 LYS NTE 05:35 06:50 0.0
7018 ORY CFE 22:23 23:18 0.0
4480 CDG PRG 08:55 10:40 0.0
1084 CDG FCO 22:34 00:39+1 0.0
784 CDG FCO 06:15 08:20 0.0
7247 MRS CDG 15:20 16:50 0.0
1003 MUC CDG 18:11 19:56 0.0
2809 GVA BOD 10:30 11:45 0.0
5298 LIG CDG 23:48 01:03+1 0.0
5695 TLS ORY 22:17 23:37 0.0
5809 NCE ORY 19:12 20:37 0.0
7149 AJA ORY 14:35 16:15 0.0
7485 NCE BOD 19:47 21:12 0.0
2733 CFE NCE 09:00 10:10 0.0
5290 LIG ORY 05:30 06:35 0.0
2749 BOD LIL 23:53 01:13+1 2748.0
7139 MPL ORY 17:48 19:13 0.0
7121 MPL ORY 07:44 09:04 0.0
5361 SXB LYS 13:10 14:10 0.0
5299 CDG LIG 23:09 00:24+1 0.0
1821 AMS CDG 22:38 23:53 0.0
5353 NTE SXB 04:44+1 06:04+1 0.0
7440 NTE LYS 05:45 07:00 0.0
134 ORY CDG 20:20 20:50 0.0
5382 MPL LYS 16:30 17:35 0.0
5377 LYS BES 02:43+1 04:13+1 0.0
9415 FCO CDG 13:51 16:01 0.0
9543 PMO FCO 15:20 16:30 0.0
6937 ORY RNS 19:45 20:45 0.0
7840 TLS AMS 15:32 17:57 0.0
7384 LYS BOD 22:58 00:03+1 0.0
7814 CDG AMS 23:37 01:02+1 0.0
1181 MAD CDG 21:00 23:05 0.0
6918 ORY MLH 05:39+1 06:39+1 0.0
2723 LIL NTE 01:19+1 02:29+1 0.0
7293 NCE CDG 13:36 15:11 0.0
2910 MRS LIS 00:28+1 02:53+1 0.0
5144 LYS VCE 22:07 23:22 0.0
6983 LYS ORY 16:31 17:36 0.0
7443 LYS NTE 09:26 10:41 0.0
963 PRG CDG 20:52 22:37 0.0
2826 TLS MXP 15:35 16:55 0.0
127 ORY CDG 07:53+1 08:23+1 0.0
5810 ORY NCE 23:18 00:38+1 0.0
7353 PUF CDG 19:39 21:09 0.0
7263 MPL CDG 15:24 16:54 0.0
7829 AMS LYS 09:00 10:40 0.0
5852 ORY BOD 04:51+1 05:56+1 0.0
6932 RNS ORY 17:07 18:12 0.0
5848 ORY BOD 17:25 18:30 0.0
5609 MRS ORY 13:30 14:50 0.0
7365 TLS CDG 20:04 21:34 0.0
7228 CDG LYS 08:46+1 10:01+1 0.0
2830 TLS MAD 06:00 07:15 0.0
3059 ZRH LYS 05:45 06:55 0.0
1623 GVA CDG 13:00 14:10 0.0
7508 LIL NCE 12:25 14:10 0.0
7218 CDG BIQ 12:20 13:45 0.0
2782 BOD BCN 19:51 21:01 0.0
145 BEY CDG 13:45 18:30 0.0
7213 BOD CDG 01:02+1 02:27+1 0.0
599 FRA CDG 06:25 07:45 0.0
2769 CFE LIL 17:35 19:00 0.0
99 ORY CDG 20:51 21:21 0.0
4894 RNS MRS 01:45+1 03:10+1 0.0
56 CDG ORY 08:15+1 08:45+1 0.0
1504 CDG LIS 21:13 23:43 0.0
9491 CTA FCO 09:55 11:15 0.0
4608 ORY LCY 17:55 19:00 0.0
1250 CDG LHR 12:00 13:10 0.0
1229 BCN CDG 17:01 18:56 0.0
5315 LYS LIG 19:10 20:15 0.0
5725 TLS ORY 18:40 20:00 0.0
2165 TUN CDG 01:28+1 04:03+1 0.0
5232 TLS NTE 19:20 20:20 0.0
1225 SVO CDG 16:59 20:59 0.0
4696 DUB LCY 20:26 21:36 0.0
5588 ORY MRS 10:13 11:28 0.0
4287 AJA NCE 04:21+1 05:16+1 0.0
1881 MAD CDG 07:00 09:05 0.0
5711 TLS ORY 20:18 21:38 0.0
5481 LYS PRG 08:00 09:40 0.0
5685 TLS ORY 06:10 07:30 0.0
7374 CDG TLS 11:55 13:20 0.0
4914 NCE NTE 08:05 09:40 0.0
7037 PUF ORY 17:57 19:17 0.0
9486 FCO CTA 00:02+1 01:17+1 0.0
9451 MXP NCE 15:24 16:34 0.0
9422 CDG FCO 19:10 21:15 0.0
5785 NCE ORY 14:44 16:09 0.0
5832 ORY BOD 17:34 18:39 0.0
4970 SXB CFE 17:29 18:34 0.0
1306 CDG VCE 23:32 01:17+1 0.0
6882 ORY SXB 08:00 09:00 0.0
1281 MAD CDG 16:10 18:15 0.0
2808 BOD GVA 14:30 15:55 0.0
17 CDG ORY 05:20 05:50 0.0
2716 BOD LIL 08:38+1 10:03+1 0.0
2003 MUC CDG 06:34+1 08:19+1 0.0
5474 LYS BCN 19:55 21:10 0.0
5403 LYS FCO 07:35 09:05 0.0
5383 LYS MPL 14:35 15:40 0.0
6893 SXB ORY 05:40 06:40 0.0
2859 BOD SXB 12:28 13:53 0.0
880 CDG MAD 21:39 23:44 0.0
6956 ORY BES 21:04 22:14 0.0
7289 NCE CDG 19:50 21:25 0.0
1564 CDG TUN 07:30 10:00 0.0
4916 NCE NTE 13:09 14:44 0.0
28 CDG ORY 09:00 09:30 0.0
1506 CDG VCE 23:23 01:08+1 0.0
2703 NTE BOD 14:48 15:38 0.0
7845 AMS TLS 08:48+1 10:43+1 0.0
5732 ORY TLS 14:05 15:15 0.0
4296 NCE AJA 15:21 16:16 0.0
6941 BES ORY 17:39 18:54 0.0
5584 ORY MRS 06:05 07:20 0.0
7233 LYS CDG 13:53 15:08 0.0
4935 LIL SXB 03:54+1 04:54+1 0.0
4605 LCY ORY 23:14 00:29+1 0.0
9546 MXP PMO 13:45 15:30 0.0
5813 NCE ORY 17:35 19:00 0.0
7127 MPL ORY 12:15 13:35 0.0
73 ORY CDG 00:00 00:30 0.0
5791 NCE ORY 12:14 13:39 0.0
4699 LCY DUB 17:15 18:30 0.0
3011 VIE LYS 22:05 00:00+1 0.0
9473 MXP MRS 16:52 18:22 0.0
7241 MRS CDG 06:52 08:22 0.0
4991 MLH LYS 09:22 10:17 0.0
4529 BCN MRS 06:00 07:00 0.0
5687 TLS ORY 06:40 08:00 0.0
1562 CDG PRG 12:05 13:50 0.0
7420 LYS TLS 13:49 14:54 0.0
2831 MAD TLS 13:13 14:28 0.0
7826 LYS AMS 05:30 07:30 0.0
5171 MRS TLS 07:25 08:20 0.0
6912 ORY MLH 17:44 18:44 0.0
7351 SXB CDG 18:52 20:02 0.0
7216 CDG BIQ 00:11+1 01:36+1 0.0
5012 LYS BIQ 07:55 09:10 0.0
6917 MLH ORY 17:28 18:38 0.0
5371 LYS BES 14:34 16:09 0.0
1680 CDG MAD 18:10 20:15 0.0
4598 ORY LCY 06:30 07:30 0.0
5782 ORY NCE 12:32 13:52 0.0
82 ORY CDG 05:05 05:35 0.0
1824 CDG SVO 13:56 17:36 0.0
5792 ORY NCE 11:00 12:20 0.0
9421 FCO CDG 16:05 18:15 0.0
5844 ORY BOD 06:00+1 07:05+1 0.0
6986 ORY LYS 09:30 10:35 0.0
146 CDG BEY 19:46 23:56 0.0
122 ORY CDG 06:37+1 07:07+1 0.0
9474 MRS MXP 00:43+1 02:08+1 0.0
4484 CDG PRG 19:45 21:30 0.0
7421 TLS LYS 08:03 09:03 0.0
7386 LYS BOD 23:21 00:26+1 0.0
57 CDG ORY 18:40 19:10 0.0
7381 BOD LYS 05:45 06:55 0.0
5372 BES LYS 12:20 13:50 0.0
9545 PMO FCO 07:34+1 08:44+1 0.0
6888 ORY SXB 20:45 21:45 0.0
69 CDG ORY 23:44 00:14+1 0.0
898 CDG FRA 06:00 07:25 0.0
7416 LYS NCE 20:27 21:27 0.0
7385 BOD LYS 23:49 00:59+1 0.0
1721 AMS CDG 21:56 23:11 0.0
2699 BOD RNS 20:20 21:25 0.0
5358 SXB LYS 17:56 18:51 0.0
7202 CDG BOD 10:00 11:20 0.0
7015 CFE ORY 09:50 10:45 0.0
1199 FRA CDG 12:50 14:10 0.0
2806 GVA CFE 16:25 17:10 0.0
7201 BOD CDG 13:47 15:12 0.0
7230 CDG LYS 21:50 23:00 0.0
9511 CTA MXP 18:12 20:12 0.0
7425 TLS LYS 05:21+1 06:31+1 0.0
7383 BOD LYS 21:49 22:59 0.0
4985 CFE LYS 16:55 17:35 0.0
4585 DUB CDG 15:34 17:24 0.0
5700 ORY TLS 20:56 22:06 0.0
4937 LIL SXB 22:52 23:52 0.0
887 DUS CDG 09:55 11:10 0.0
4936 SXB LIL 16:56 17:56 0.0
7261 MPL CDG 19:23 20:53 0.0
5057 BOD SXB 23:24 00:49+1 0.0
598 CDG FRA 04:28+1 05:53+1 0.0
1994 CDG MXP 01:27+1 03:02+1 0.0
2006 CDG VCE 20:05 21:50 0.0
7428 LYS TLS 23:07 00:22+1 0.0
5381 LYS MPL 07:40 08:45 0.0
135 ORY CDG 05:45+1 06:15+1 0.0
7865 AMS MRS 18:55 20:55 0.0
6990 ORY LYS 14:13 15:18 0.0
112 ORY CDG 02:49+1 03:19+1 0.0
7373 TLS CDG 18:57 20:27 0.0
144 ORY CDG 06:21+1 06:51 0.0
7237 CFE CDG 17:16 18:21 0.0
2201 MAD ORY 05:55+1 07:50+1 0.0
5142 LYS VCE 22:11 23:26 0.0
2860 MLH BOD 22:06 23:31 0.0
5061 TLS SXB 07:30 09:00 0.0
139 ORY CDG 09:53+1 10:23+1 0.0
88 ORY CDG 18:25 18:55 0.0
9414 CDG FCO 13:00 15:05 0.0
1320 CDG AMS 11:35 12:50 0.0
5310 LIG LYS 05:35 06:35 0.0
5830 ORY BOD 05:50 06:55 0.0
1205 LIS CDG 15:15 17:45 0.0
2103 MUC CDG 08:58+1 10:43+1 0.0
2419 VIE CDG 06:53+1 09:08+1 0.0
7424 LYS TLS 19:09 20:14 0.0
2900 NCE LIS 14:05 16:40 0.0
7126 ORY MPL 13:18 14:33 0.0
5400 FCO LYS 16:45 18:20 0.0
7450 NTE LYS 21:12 22:27 0.0
6936 RNS ORY 17:20 18:25 0.0
629 BCN CDG 17:48 19:43 0.0
985 FCO CDG 13:46 15:56 0.0
5065 TLS SXB 19:35 21:05 0.0
1180 CDG MAD 11:40 13:45 0.0
5851 BOD ORY 03:14+1 04:24+1 0.0
34 CDG ORY 15:15 15:45 0.0
7446 NTE LYS 19:50 21:05 0.0
5378 NCE BES 01:07+1 03:02+1 0.0
4880 CFE MRS 11:35 12:30 0.0
1922 CDG GVA 16:33 17:43 0.0
1685 FCO CDG 01:17+1 03:27+1 0.0
6993 LYS ORY 22:32 23:37 0.0
5633 MRS ORY 19:30 20:50 0.0
1602 CDG MUC 13:40 15:15 0.0
6945 BES ORY 10:10 11:25 0.0
5591 MRS ORY 14:00 15:20 0.0
5478 LYS BCN 14:35 15:50 0.0
2007 VCE CDG 09:46 11:36 0.0
5374 BES MRS 12:10 13:50 0.0
5231 NTE TLS 14:40 15:40 0.0
7316 CDG BES 23:00 00:15+1 0.0
7863 AMS MRS 12:35 14:30 0.0
2803 BOD CFE 08:21 09:16 0.0
5811 NCE ORY 23:41 01:06+1 0.0
5628 ORY MRS 19:05 20:20 0.0
7132 ORY MPL 04:50+1 06:05+1 0.0
5473 LYS MAD 14:20 16:05 0.0
5716 ORY TLS 22:55 00:05+1 0.0
6906 ORY SXB 19:15 20:15 0.0
7036 ORY PUF 16:20 17:35 0.0
7882 BOD AMS 11:25 13:15 0.0
7031 PUF ORY 05:40 07:00 0.0
6981 LYS ORY 11:39 12:44 0.0
5311 LYS LIG 13:38 14:38 0.0
1970 CDG IST 18:30 21:50 0.0
6985 LYS ORY 17:00 18:05 0.0
7819 AMS CDG 15:40 17:00 0.0
1950 CDG LHR 19:50 21:10 0.0
823 GVA CDG 06:30 07:40 0.0
9435 CTA FCO 04:53+1 06:13+1 0.0
2205 MAD ORY 02:05+1 04:05+1 0.0
6930 RNS ORY 06:31 07:36 0.0
1885 FCO CDG 06:20 08:30 0.0
4084 ORY AJA 22:27 00:07+1 0.0
5707 TLS ORY 14:10 15:30 0.0
2002 CDG MUC 16:20 17:55 0.0
5710 ORY TLS 15:20 16:30 0.0
7236 CDG CFE 14:25 15:25 0.0
2718 NTE GVA 21:58 23:18 0.0
5806 ORY NCE 16:30 17:50 0.0
5699 TLS ORY 10:40 12:00 0.0
7427 TLS LYS 15:34 16:44 0.0
7020 ORY CFE 19:45 20:40 0.0
7245 MRS CDG 15:14 16:44 0.0
5840 ORY BOD 01:25+1 02:30+1 0.0
5030 BOD MRS 05:50 06:55 0.0
2690 RNS BOD 14:25 15:25 0.0
6890 ORY SXB 16:25 17:25 0.0
7125 MPL ORY 14:25 15:45 0.0
7232 CDG LYS 19:50 21:00 0.0
6942 ORY BES 10:16 11:26 0.0
7413 NCE LYS 00:28+1 01:23+1 0.0
6885 SXB ORY 12:50 13:50 0.0
7414 LYS NCE 19:05 20:05 0.0
1151 LHR CDG 01:13+1 02:23+1 0.0
80 ORY CDG 15:07 15:37 0.0
7133 MPL ORY 04:19+1 05:39+1 0.0
2051 LHR CDG 21:11 22:31 0.0
7317 BES CDG 05:54 07:14 0.0
4704 DUB LCY 07:40 09:00 0.0
5470 MAD LYS 13:39 15:24 0.0
4372 NCE BIA 19:53 20:48 0.0
1220 CDG AMS 14:55 16:15 0.0
1007 VCE CDG 17:51 19:41 0.0
5837 BOD ORY 07:40 08:50 0.0
5300 RNS CDG 05:25 06:25 0.0
2829 FCO TLS 20:45 22:30 0.0
7215 BIQ CDG 06:15 07:45 0.0
6946 ORY BES 18:42 19:52 0.0
4645 NCE TLS 23:09 00:34+1 0.0
4905 MRS LIL 07:40 09:15 0.0
9504 MXP CTA 20:24 22:19 0.0
9453 MXP NCE 20:15 21:25 0.0
2851 MPL CFE 14:07 14:57 0.0
5463 FRA LYS 00:45+1 02:10+1 0.0
7358 CDG PUF 17:15 18:45 0.0
5627 MRS ORY 18:00 19:20 0.0
9423 FCO CDG 02:47+1 04:57+1 0.0
5793 NCE ORY 23:02 00:27+1 0.0
2102 CDG MUC 21:51 23:26 0.0
74 ORY CDG 00:20 00:50 0.0
37 CDG ORY 12:00 12:30 0.0
7291 NCE CDG 20:52 22:27 0.0
4594 CDG DUB 15:15 17:15 0.0
4703 LCY DUB 09:30 10:50 0.0
4367 BIA LYS 18:00 19:30 0.0
5089 TLS LIL 23:15 00:50+1 0.0
1621 AMS CDG 19:00 20:15 0.0
9341 MXP LYS 22:42 23:57 0.0
5781 NCE ORY 12:25 13:50 0.0
6891 SXB ORY 13:35 14:35 0.0
7844 TLS AMS 17:18 19:33 0.0
7148 ORY AJA 21:07 22:47 0.0
7240 CDG MRS 17:15 18:40 0.0
5058 SXB BOD 05:05+1 06:30+1 0.0
25 CDG ORY 17:39 18:09 0.0
5618 ORY MRS 03:49+1 05:04+1 0.0
5046 SXB MRS 14:10 15:25 0.0
5351 NTE SXB 10:04 11:24 0.0
5364 LYS SXB 07:35 08:40 0.0
106 ORY CDG 12:51 13:21 0.0
1795 MXP CDG 09:19+1 10:49+1 0.0
9410 CDG FCO 14:07 16:12 0.0
1625 SVO CDG 10:02 13:57 0.0
7451 LYS NTE 03:08+1 04:23+1 0.0
5826 ORY NCE 09:32+1 10:52+1 0.0
5415 MUC LYS 20:18 21:38 0.0
4319 BIA NCE 21:31 22:26 0.0
7017 CFE ORY 02:09+1 03:04+1 0.0
5831 BOD ORY 05:10 06:20 0.0
5845 BOD ORY 00:37+1 01:47+1 0.0
7864 MRS AMS 05:50 08:00 0.0
4337 BIA MRS 18:00 18:55 0.0
7854 NCE AMS 15:10 17:35 0.0
13 CDG ORY 10:25 10:55 0.0
5728 ORY TLS 19:50 21:00 0.0
3 CDG ORY 00:40 01:10 0.0
4297 AJA MRS 06:00 06:55 0.0
5293 ORY LIG 17:00 18:00 0.0
5476 MAD LYS 19:41 21:21 0.0
5620 ORY MRS 03:54+1 05:09+1 0.0
5018 LYS BIQ 08:43 09:58 0.0
7482 BOD NCE 22:03 23:18 0.0
3013 VIE LYS 18:32 20:22 0.0
7074 ORY BIQ 21:17 22:32 0.0
6992 ORY LYS 00:52+1 01:57+1 0.0
2815 MAD BOD 01:06+1 02:21+1 0.0
7350 CDG SXB 20:00 21:10 0.0
1187 DUS CDG 12:25 13:40 0.0
40 CDG ORY 23:31 00:01+1 0.0
6955 BES ORY 20:03 21:18 0.0
2828 TLS FCO 14:25 16:10 0.0
7843 AMS TLS 12:35 14:35 0.0
605 LIS CDG 01:51+1 04:21+1 0.0
9385 MXP CDG 14:33 16:08 0.0
750 CDG LHR 12:03 13:28 0.0
4977 CFE SXB 05:59+1 07:04+1 0.0
5684 ORY TLS 11:46 12:56 0.0
8 CDG ORY 02:20 02:50 0.0
5376 BES LYS 22:27 00:02+1 0.0
1580 CDG MAD 03:13+1 05:18+1 0.0
5798 ORY NCE 23:41 01:01+1 0.0
7210 CDG BOD 20:00 21:20 0.0
1923 GVA CDG 21:55 23:05 0.0
5624 ORY MRS 08:13+1 09:28+1 0.0
2846 CFE TLS 06:20 07:15 0.0
5345 NTE MRS 17:35 18:55 0.0
702 CDG MUC 23:28 01:03+1 0.0
5043 MRS SXB 17:32 18:52 0.0
7410 LYS NCE 07:50 08:50 0.0
9383 MXP CDG 13:26 15:01 0.0
7068 ORY BIQ 18:33 19:48 0.0
5334 RNS LYS 18:19 19:34 0.0
4096 ORY BIA 00:40+1 02:15+1 0.0
7011 CFE ORY 20:47 21:42 0.0
5054 SXB BOD 17:58 19:23 0.0
7430 LYS TLS 13:40 14:55 0.0
5404 FCO LYS 18:20 19:50 0.0
5326 NCE RNS 18:31 20:11 0.0
5457 DUS LYS 05:25 06:55 0.0
1550 CDG LHR 15:00 16:10 0.0
2722 NTE LIL 07:30 08:35 0.0
1307 VCE CDG 14:10 16:00 0.0
5854 ORY BOD 20:10 21:15 0.0
7822 CDG AMS 03:32+1 04:47+1 0.0
7389 BOD LYS 09:10+1 10:20+1 0.0
694 CDG MXP 09:03 10:38 0.0
4883 MRS CFE 21:08 21:58 0.0
7401 MRS LYS 11:19 12:14 0.0
9528 FCO PMO 09:55 11:05 0.0
5690 ORY TLS 13:37 14:47 0.0
1002 CDG MUC 14:15 15:50 0.0
5352 SXB NTE 19:30 20:55 0.0
1123 GVA CDG 20:47 21:57 0.0
2251 LHR CDG 08:45 10:00 0.0
5033 MRS BOD 19:30 20:40 0.0
6953 BES ORY 23:00 00:15+1 0.0
5048 SXB MRS 01:18+1 02:33+1 0.0
821 AMS CDG 08:30 09:45 0.0
2872 LYS MXP 12:57 13:52 0.0
1899 FRA CDG 18:05 19:25 0.0
4329 BIA MRS 13:31 14:26 0.0
2705 NTE BOD 14:40 15:25 0.0
7501 NCE LIL 19:40 21:20 0.0
4641 NCE TLS 14:39 16:04 0.0
951 LHR CDG 14:10 15:20 0.0
5686 ORY TLS 16:00 17:10 0.0
16 CDG ORY 05:00 05:30 0.0
1507 VCE CDG 06:03+1 07:53+1 0.0
2704 BOD NTE 22:00 22:55 0.0
4644 TLS NCE 02:35+1 03:55+1 0.0
2842 CFE AMS 21:22 22:52 0.0
24 CDG ORY 08:03 08:33 0.0
44 CDG ORY 23:09 23:39 0.0
105 ORY CDG 17:11 17:41 0.0
4330 MRS BIA 12:40 13:35 0.0
4966 CFE NTE 15:29 16:29 0.0
6895 SXB ORY 16:20 17:20 0.0
5800 ORY NCE 15:00 16:20 0.0
9454 NCE MXP 05:40 06:45 0.0
7429 TLS LYS 12:55 13:55 0.0
7207 BOD CDG 12:35 14:00 0.0
5256 LIG LYS 13:07 14:07 0.0
9 CDG ORY 02:40 03:10 0.0
2901 LIS NCE 10:10 12:35 0.0
7341 SXB CDG 05:45 06:55 0.0
5143 VCE LYS 18:09 19:34 0.0
27 CDG ORY 08:40 09:10 0.0
63 CDG ORY 20:40 21:10 0.0
100 ORY CDG 09:00 09:30 0.0
7880 BOD AMS 05:50 07:40 0.0
5483 LYS PRG 21:59 23:39 0.0
2525 SVO CDG 18:05 22:20 0.0
1222 CDG GVA 07:00 08:10 0.0
4315 BIA NCE 06:20 07:15 0.0
4525 PRG MRS 01:41+1 03:46+1 0.0
1720 CDG AMS 02:42+1 04:02+1 0.0
5349 NTE SXB 10:45 12:05 0.0
1723 GVA CDG 03:27+1 04:37+1 0.0
4589 DUB CDG 14:15 16:05 0.0
5292 LIG ORY 15:20 16:25 0.0
1085 FCO CDG 12:00 14:10 0.0
5341 NTE MRS 06:05 07:25 0.0
2822 TLS MXP 21:19 22:39 0.0
2164 CDG TUN 11:35 14:05 0.0
4590 CDG DUB 17:50 19:45 0.0
1265 TUN CDG 07:55 10:30 0.0
66 CDG ORY 08:12+1 08:42+1 0.0
1103 MUC CDG 10:24 12:09 0.0
6991 LYS ORY 16:50 17:55 0.0
7828 LYS AMS 23:36 01:26+1 0.0
5335 LYS RNS 19:20 20:40 0.0
7250 CDG MRS 06:55+1 08:20+1 0.0
9503 CTA MXP 09:54 11:54 0.0
5729 TLS ORY 22:55 00:15+1 0.0
721 AMS CDG 20:23 21:38 0.0
